,model,timmean,shift,slope
0,ERA5,1,-0.24139076286059286,0.0036387762906205643
1,ACCESS-CM2,-0.032015689187093535,-0.008472522141865321,0.0009287213094814746
2,ACCESS-ESM1-5,-0.01867118651408203,0.05851086366927781,-0.00018051520508700444
3,AWI-CM-1-1-MR,0.010597972338740637,-0.03136424200405218,0.0009004866983811412
4,BCC-CSM2-MR,-0.048519183502165567,0.06240411499348082,-0.0010593537477775693
5,CAMS-CSM1-0,0.006572109094229289,-0.017517372291088948,0.0003291248499505655
6,CESM2-WACCM,0.011284673220432851,-0.030191600036032596,0.0006971566759383
7,CESM2,0.008015697875479637,0.007584155739201145,-7.817274587247333e-05
8,CMCC-ESM2,-0.031800460090339815,0.04951937249996207,-0.0010439345141607654
9,CNRM-CM6-1-HR,0.02778065109975137,-0.08016215016404067,0.0019553488582985295
10,CNRM-CM6-1,0.05037622428093394,-0.12136572164124966,0.002422333679939453
11,CNRM-ESM2-1,0.00751139462214557,0.018727159688064886,0.0007731963889053548
12,CanESM5-CanOE,0.019194129849187662,0.08641332198141362,0.0002078088284516241
13,CanESM5,-0.05474786646215113,0.013307807083158549,0.0006013146345320592
14,EC-Earth3,-0.06640095935920422,-0.013035714722989764,0.00233188433011581
15,FGOALS-f3-L,0.07238069834779054,0.021653121824095213,-0.0005655107840416608
16,FGOALS-g3,0.030179672612320633,-0.0494815329926115,0.001720256988374226
17,FIO-ESM-2-0,0.0072579730782503776,-0.05555660651598652,0.0015799445844452656
18,GFDL-CM4,-0.017483297442281758,-0.004489154337338436,0.0004726138608383569
19,GFDL-ESM4,-0.06472689891344563,0.0844852905347454,-0.0004093791868445041
20,GISS-E2-1-G,0.03982844354749918,-0.06611467537072607,0.0018489381055434078
21,HadGEM3-GC31-LL,-0.03913353727853934,0.023540285923325972,-0.0003796527263884933
22,IITM-ESM,0.03318954496838495,-0.03602056289697559,0.0014526490722564219
23,INM-CM4-8,0.0431105970554995,0.051392073549109706,-0.00026070557295514526
24,INM-CM5-0,0.03933680668628717,-0.010518937841907074,0.0004197290071990707
25,IPSL-CM6A-LR,0.05033545147091681,-0.02672993064304171,0.0007206832230901816
26,KACE-1-0-G,-0.003675526422159891,0.012540193061508208,-3.4922104529462574e-06
27,KIOST-ESM,-0.06111523362387292,-0.007842268221538924,0.0016724381308961006
28,MCM-UA-1-0,0.03130675181107862,0.02127531340504667,0.0009150371096062421
29,MIROC-ES2L,0.022101532272509973,-0.038667527358449735,0.0021430292787740102
30,MIROC6,0.013601417808880058,0.01768751322252592,-8.843395706118262e-05
31,MPI-ESM1-2-HR,0.014143995939659452,0.018196045754411666,-0.0005174832179116114
32,MRI-ESM2-0,7.967202261958942e-05,-0.0007493225393550108,0.0011138251711709686
33,NESM3,-0.031147491161392125,0.008991742616607009,0.0013314091136186355
34,NorESM2-LM,0.06141329231996703,-0.004578143160452601,0.0003055525019482343
35,NorESM2-MM,0.018111554085295807,0.035220150171910554,0.00047560149046571435
36,TaiESM1,0.005409554335024599,0.07581236045101365,-0.0018198482064054763
37,UKESM1-0-LL,-0.050004419623149235,0.010300865897270577,0.0005482291770947455
38,MPI-ESM1-2-LR,0.004982728896847748,0.03628096004435425,-0.00011158999867492519
